no nesting__title					
	this conversation has no nesting				
		option 1	result1		
		option 2	result2		
with nesting__Some Random Guy					
	this conversation has nesting				
		nested result			
			this is a second message based on option 1		
				normal result 1	RESULT_2
				normal result 2	RESULT_3
		normal result	RESULT_1		
multi nesting__Name Of Character					
	both options are nested				
		nest a			
			nested message 1		
				nest a-1	a-1
				nest a-2	a-2
		nest b			
			nested message 2		
				nest b-1	b-1
				nest b-2	b-2
hat convo__Straw Hat					
	Your straw hat sits quietly on the ground. Maybe it is contemplating the meaning of it's own existence. Maybe it likes it there.				
		Leave the hat alone	hatLeaveAlone		
		Disturb the hat			
			"(Grumble) What's the point... I'm just a collection of straw... I'd prefer to be left alone, but I understand I am just an object. Do as you must"		
				Pick up and wear Hat	hatWear
				Leave them be.	hatLeaveAlone
